"city","country","pop2024","latitude","longitude"
"Ciudad Valles","Mexico",124644,21.9963,-99.0109
"Guadalupe","Mexico",124623,22.7475,-102.519
"San Pedro Garza Garcia","Mexico",122627,25.6604,-100.407
"San Pedro Garza Garcia","Mexico",122009,25.6572,-100.403
"Fresnillo","Mexico",120944,23.1813,-102.871
"Orizaba","Mexico",120844,18.8519,-97.0996
"Miramar","Mexico",118614,22.3609,-97.9
"Iguala de la Independencia","Mexico",118468,18.3454,-99.5413
"Ciudad Delicias","Mexico",118071,28.1901,-105.47
"Ciudad de Villa de Alvarez","Mexico",117600,19.2672,-103.738
"Cuauhtemoc","Mexico",114007,28.4088,-106.863
"Navojoa","Mexico",113836,27.0703,-109.444
"Heroica Guaymas","Mexico",113082,27.9193,-110.898
"Minatitlan","Mexico",112046,18.0001,-94.5569
"Cuautitlan","Mexico",108449,19.6705,-99.1799
"Texcoco de Mora","Mexico",105165,19.5119,-98.8829
"Parral","Mexico",104836,26.9302,-105.666
"Tepexpan","Mexico",102667,19.6139,-98.9364
"Tulancingo","Mexico",102406,20.0835,-98.3629
"Tuxtepec","Mexico",101810,18.0883,-96.1254
"Colonia Lindavista","Mexico",100000,19.4916,-99.1247
"Apatzingan","Mexico",99010,19.0886,-102.357
"Lagos de Moreno","Mexico",98206,21.3567,-101.938
"Temixco","Mexico",97788,18.8525,-99.2254
"Ciudad Guzman","Mexico",97750,19.7047,-103.462
"Comitan","Mexico",97537,16.2471,-92.1351
"Ciudad Rio Bravo","Mexico",95647,25.9873,-98.0941
"Garcia","Mexico",93641,25.812,-100.599
"Tepatitlan de Morelos","Mexico",91959,20.8169,-102.763
"Cardenas","Mexico",91558,18.0014,-93.3756
"Cholula","Mexico",87897,19.0641,-98.3035
"Hacienda Santa Fe","Mexico",86935,20.5181,-103.381
"Atlixco","Mexico",86690,18.9081,-98.4361
"Tecoman","Mexico",85689,18.9168,-103.878
"Los Reyes Acaquilpan","Mexico",85359,19.3636,-98.9771
"Ciudad Mante","Mexico",84787,22.743,-98.9739
"Tuxpam de Rodriguez Cano","Mexico",84750,20.9578,-97.4081
"Tlaxcala","Mexico",84670,19.319,-98.1998
"Heroica Zitacuaro","Mexico",84307,19.4361,-100.357
"Ocotlan","Mexico",83769,20.3553,-102.774
"La Piedad","Mexico",83323,20.3424,-102.031
"Ciudad Lerdo","Mexico",79669,25.5372,-103.525
"Ciudad Lazaro Cardenas","Mexico",79200,17.9707,-102.221
"Matehuala","Mexico",77328,23.6482,-100.643
"Agua Prieta","Mexico",77254,31.3307,-109.549
"Kanasin","Mexico",77240,20.9348,-89.5587
"Cozumel","Mexico",77236,20.5004,-86.9427
"Amozoc de Mota","Mexico",77106,19.0461,-98.045
"Salina Cruz","Mexico",76596,16.1754,-95.1942
"San Martin Texmelucan de Labastida","Mexico",75518,19.2843,-98.4389
"Juchitan de Zaragoza","Mexico",74825,16.436,-95.0198
"Silao","Mexico",74242,20.9436,-101.427
"Fuentes del Valle","Mexico",74087,19.6325,-99.1386
"Guanajuato","Mexico",72237,21.0186,-101.259
"El Pueblito","Mexico",71254,20.54,-100.438
"Guasave","Mexico",71196,25.5674,-108.468
"San Francisco del Rincon","Mexico",71139,21.0184,-101.855
"San Miguel de Allende","Mexico",69811,20.9153,-100.744
"San Jose del Cabo","Mexico",69788,23.0589,-109.698
"Frontera","Mexico",69462,26.9281,-101.452
"Cabo San Lucas","Mexico",68463,22.8909,-109.912
"Cadereyta Jimenez","Mexico",68111,25.589,-100.002
"Valle de Santiago","Mexico",68058,20.3914,-101.192
"Cadereyta","Mexico",67994,25.5833,-99.9833
"San Mateo Atenco","Mexico",67890,19.2676,-99.5321
"Ixtapa-Zihuatanejo","Mexico",67408,17.6434,-101.552
"Santa Cruz Xoxocotlan","Mexico",67086,17.0296,-96.7352
"Ramos Arizpe","Mexico",66554,25.5393,-100.947
"Tultepec","Mexico",65338,19.685,-99.1281
"Rosarito","Mexico",65278,32.3604,-117.046
"Tecate","Mexico",64764,32.5672,-116.625
"Sahuayo de Morelos","Mexico",64431,20.0586,-102.716
"Guamuchil","Mexico",63743,25.4587,-108.077
"Linares","Mexico",63104,24.858,-99.5677
"Tesistan","Mexico",62397,20.8005,-103.47
"San Andres Tuxtla","Mexico",61769,18.4487,-95.2133
"Cortazar","Mexico",61658,20.4836,-100.962
"San Salvador Tizatlalli","Mexico",61367,19.2603,-99.5908
"Ciudad Hidalgo","Mexico",60542,19.6927,-100.554
"Martinez de la Torre","Mexico",60074,20.0708,-97.0608
"Villa Vicente Guerrero","Mexico",60001,19.1212,-98.1657
"Colonia Nativitas","Mexico",60000,19.3812,-99.1368
"Heroica Caborca","Mexico",59922,30.7183,-112.158
"Altamira","Mexico",59536,22.3922,-97.9387
"Dolores Hidalgo Cuna de la Independencia Naci","Mexico",59240,21.1561,-100.933
"Teziutlan","Mexico",58699,19.8173,-97.3599
"Acambaro","Mexico",57972,20.0308,-100.722
"Jacona de Plancarte","Mexico",56934,19.9523,-102.308
"Puerto Penasco","Mexico",56756,31.3172,-113.538
"Huauchinango","Mexico",56206,20.1738,-98.0549
"Nuevo Casas Grandes","Mexico",55553,30.4155,-107.912
"Patzcuaro","Mexico",55298,19.5159,-101.609
"Sabinas","Mexico",54905,27.8559,-101.117
"San Bernardino Tlaxcalancingo","Mexico",54517,19.0287,-98.277
"Zinacantepec","Mexico",54220,19.2843,-99.7339
"Jardines de la Silla (Jardines)","Mexico",53742,25.6294,-100.188
"Santiago Teyahualco","Mexico",53684,19.6598,-99.1249
"Coatepec","Mexico",53621,19.4523,-96.9615
"Papantla de Olarte","Mexico",53546,20.4466,-97.3249
"Rioverde","Mexico",53128,21.9312,-99.9949
"Ciudad de Huajuapan de Leon","Mexico",53043,17.8079,-97.7796
"Zacapu","Mexico",52806,19.8219,-101.789
"Matamoros","Mexico",52233,25.527,-103.229
"Taxco de Alarcon","Mexico",52217,18.5546,-99.6059
"Arandas","Mexico",52175,20.7052,-102.346
"Huamantla","Mexico",51996,19.3145,-97.9252
"Uriangato","Mexico",51382,20.1409,-101.183
"Teoloyucan","Mexico",51255,19.7442,-99.1811
"Acayucan","Mexico",50934,17.9498,-94.9139
"Zumpango","Mexico",50742,19.7967,-99.0995
"Zacapu","Mexico",50112,19.814,-101.792
"Polanco","Mexico",50000,19.4333,-99.1992
"San Luis de la Paz","Mexico",49914,21.2977,-100.517
"Apizaco","Mexico",49506,19.4133,-98.1436
"Emiliano Zapata","Mexico",49193,18.8407,-99.1846
"Valladolid","Mexico",48973,20.6881,-88.1994
"Valle Hermoso","Mexico",48918,25.6721,-97.8131
"San Pedro","Mexico",48746,25.756,-102.984
"San Juan de los Lagos","Mexico",48684,21.2489,-102.33
"Colonia del Sol","Mexico",48032,22.9127,-109.927
"Santa Ana Chiautempan","Mexico",48030,19.3066,-98.1877
"Tierra Blanca","Mexico",47824,18.4477,-96.3591
"Tlapa de Comonfort","Mexico",46975,17.5453,-98.576
"Tizimin","Mexico",46971,21.1427,-88.151
"Autlan de Navarro","Mexico",45382,19.7682,-104.367
"Mazatlan","Mexico",45108,25.1891,-99.8287
"Chiapa de Corzo","Mexico",45077,16.7077,-93.0118
"San Buenaventura","Mexico",44761,19.3025,-98.8631
"Purisima de Bustos","Mexico",43512,21.0315,-101.878
"Tizayuca","Mexico",43250,19.8372,-98.9761
"Moroleon","Mexico",43200,20.1257,-101.192
"Jerez de Garcia Salinas","Mexico",43064,22.6497,-102.99
"Jesus Maria","Mexico",43012,21.9611,-102.343
"Palenque","Mexico",42947,17.5095,-91.9825
"Izucar de Matamoros","Mexico",42936,18.6016,-98.4615
"Yautepec","Mexico",42731,18.8819,-99.0671
"Las Choapas","Mexico",42693,17.9118,-94.0965
"Empalme","Mexico",42516,27.9617,-110.814
"Cintalapa de Figueroa","Mexico",42467,16.6839,-93.7181
"Juventino Rosas","Mexico",42264,20.6434,-100.993
"Santo Domingo Tehuantepec","Mexico",42082,16.3246,-95.241
"Ocosingo","Mexico",41878,16.9064,-92.0937
"Comalcalco","Mexico",41458,18.2632,-93.224
"San Pedro","Mexico",41165,25.4333,-103.217
"Ciudad Constitucion","Mexico",40935,25.0321,-111.663
"Panuco","Mexico",40754,22.0537,-98.185
"Rio Blanco","Mexico",40611,18.8304,-97.156
"Camargo","Mexico",40221,27.6784,-105.171
"Penjamo","Mexico",40070,20.4311,-101.723
"Huejutla de Reyes","Mexico",40015,21.14,-98.4194
"San Andres Cholula","Mexico",39964,19.0514,-98.2953
"Xicotepec de Juarez","Mexico",39803,20.2761,-97.9611
"Uman","Mexico",39611,20.8821,-89.7465
"Los Reyes de Salgado","Mexico",39209,19.5904,-102.472
"Ocozocoautla de Espinosa","Mexico",39180,16.7623,-93.3748
"Esperanza","Mexico",38969,27.5792,-109.93
"Melchor Ocampo","Mexico",38599,19.7019,-99.1449
"Zacatelco","Mexico",38466,19.2158,-98.2397
"Nueva Rosita","Mexico",38158,27.9403,-101.218
"Tepotzotlan","Mexico",38119,19.7212,-99.2239
"Guacamayas","Mexico",37980,18.0193,-102.212
"Perote","Mexico",37516,19.5623,-97.2423
"Progreso","Mexico",37369,21.2831,-89.6612
"Villaflores","Mexico",37237,16.2341,-93.2704
"Salvatierra","Mexico",37203,20.2132,-100.88
"Santa Teresa","Mexico",36845,19.845,-99.2333
"Santiago","Mexico",36840,25.4253,-100.152
"San Jeronimo Cuatro Vientos","Mexico",36778,19.2931,-98.8417
"Ameca","Mexico",36156,20.5463,-104.045
"Agua Dulce","Mexico",36079,18.1391,-94.1453
"Xalisco","Mexico",35702,21.451,-104.898
"Coyotepec","Mexico",35677,19.7772,-99.213
"Ciudad Mendoza","Mexico",35641,18.8064,-97.1787
"Tala","Mexico",35396,20.6536,-103.701
"San Martin Azcatepec","Mexico",35390,19.6867,-98.9728
